Date,Open,High,Low,Close,Adj Close,Volume
2014-12-22,6545.299805,6621.000000,6545.299805,6609.899902,6609.899902,1117396100
2014-12-29,6609.899902,6652.000000,6510.600098,6547.799805,6547.799805,1181420000
2015-01-05,6547.799805,6580.799805,6328.600098,6501.100098,6501.100098,3806904400
2015-01-12,6501.100098,6558.799805,6298.200195,6550.299805,6550.299805,4032934400
2015-01-19,6550.299805,6841.700195,6548.000000,6832.799805,6832.799805,3827894900
2015-01-26,6832.799805,6865.000000,6749.399902,6749.399902,6749.399902,3609300200
2015-02-02,6749.399902,6886.299805,6732.000000,6853.399902,6853.399902,3810842800
2015-02-09,6853.399902,6887.600098,6778.000000,6873.500000,6873.500000,3561798900
2015-02-16,6873.500000,6921.299805,6819.799805,6915.200195,6915.200195,3112105700
2015-02-23,6915.200195,6967.200195,6885.899902,6946.700195,6946.700195,3873816500
2015-03-02,6946.700195,6974.299805,6862.899902,6911.799805,6911.799805,3851129900
2015-03-09,6911.799805,6911.799805,6693.799805,6740.600098,6740.600098,3860933400
2015-03-16,6740.600098,7024.200195,6740.600098,7022.500000,7022.500000,4444323200
2015-03-23,7022.500000,7065.100098,6839.899902,6855.000000,6855.000000,3695265300
2015-03-30,6855.000000,6914.600098,6765.100098,6833.500000,6833.500000,2916106600
2015-04-06,6833.500000,7095.399902,6833.500000,7089.799805,7089.799805,3070155600
2015-04-13,7089.799805,7119.399902,6979.299805,6994.600098,6994.600098,3512575600
2015-04-20,6994.600098,7105.100098,6994.600098,7070.700195,7070.700195,3536160500
2015-04-27,7070.700195,7122.700195,6906.200195,6986.000000,6986.000000,3987781300
2015-05-04,6986.000000,7053.200195,6810.100098,7046.799805,7046.799805,4234741300
2015-05-11,7046.799805,7083.700195,6884.600098,6960.500000,6960.500000,3735276500
2015-05-18,6960.500000,7061.700195,6931.600098,7031.700195,7031.700195,3404795900
2015-05-25,7031.700195,7069.899902,6930.299805,6984.399902,6984.399902,3105414800
2015-06-01,6984.399902,7037.600098,6785.200195,6804.600098,6804.600098,3798858000
2015-06-08,6804.600098,6870.200195,6734.200195,6784.899902,6784.899902,3310882900
2015-06-15,6784.899902,6784.899902,6625.200195,6710.500000,6710.500000,4007150200
2015-06-22,6710.500000,6873.399902,6710.500000,6753.700195,6753.700195,3250491500
2015-06-29,6753.700195,6753.700195,6521.000000,6585.799805,6585.799805,3474003300
2015-07-06,6585.799805,6687.600098,6430.399902,6673.399902,6673.399902,3755896200
