Date,Open,High,Low,Close,Adj Close,Volume
1988-06-27,66.972000,66.972000,66.972000,66.972000,9.907598,0
1988-07-04,66.147003,68.456001,66.147003,67.630997,10.005092,0
1988-07-11,67.630997,69.611000,67.630997,68.125999,10.078321,0
1988-07-18,68.456001,69.776001,68.456001,68.950996,10.200368,0
1988-07-25,68.456001,68.456001,66.476997,66.806999,9.883190,0
1988-08-01,66.147003,67.960999,65.652000,67.960999,10.053905,0
1988-08-08,68.456001,68.456001,66.476997,66.476997,9.834371,0
1988-08-15,65.487000,68.125999,65.487000,68.125999,10.078321,0
1988-08-22,67.630997,67.630997,65.156998,65.156998,9.639095,0
1988-08-29,65.156998,65.817001,64.497002,65.487000,9.687916,0
1988-09-05,64.991997,65.321999,64.662003,64.662003,9.565871,0
1988-09-12,64.991997,65.156998,64.662003,64.662003,9.565871,0
1988-09-19,64.991997,65.817001,64.991997,65.487000,9.687916,0
1988-09-26,65.321999,69.115997,65.321999,69.115997,10.224775,0
1988-10-03,68.456001,69.611000,68.291000,69.611000,10.298005,0
1988-10-10,69.941002,70.106003,68.786003,70.106003,10.371231,0
1988-10-17,70.435997,70.764999,69.611000,70.764999,10.468728,0
1988-10-24,70.435997,70.435997,68.125999,68.125999,10.078321,0
1988-10-31,67.960999,67.960999,67.466003,67.466003,9.980682,0
1988-11-07,66.641998,67.301003,66.147003,66.147003,9.785555,0
1988-11-14,66.972000,68.456001,66.972000,68.456001,10.127138,0
1988-11-21,68.456001,69.445999,67.960999,67.960999,10.053905,0
1988-11-28,68.125999,69.445999,67.795998,67.795998,10.029501,0
1988-12-05,67.301003,67.466003,66.476997,66.476997,9.834371,0
1988-12-12,66.311996,69.280998,66.311996,69.280998,10.249183,0
1988-12-19,68.786003,69.115997,67.630997,67.795998,10.029501,0
1988-12-26,67.795998,67.795998,66.972000,66.972000,9.907598,0
1989-01-02,66.972000,67.630997,66.641998,67.630997,10.005092,0
1989-01-09,67.960999,70.600998,67.960999,70.600998,10.444461,0
1989-01-16,70.600998,72.250000,70.435997,72.250000,10.688411,0
